name,fat,carbohydrat,protein,Fe,Mg,Na,K,Ca,Zn,Se,Cu,C,D,B12,E,A
coriander,23.0,20.0,25.0,91.0,79.0,2.0,0,55.0,43.0,48.0,108.0,23.0,0,0,0,0
corn,0.0,5.0,2.0,0.0,0.0,10.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
cornmeal,3.0,28.0,15.0,14.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
cottage cheese,6.0,1.0,23.0,0.0,0.0,19.0,0,7.0,0.0,0.0,0.0,0.0,0,0,0,0
couscous,0.0,28.0,27.0,12.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0,0,0,0
crab,1.0,0.0,36.0,3.0,9.0,17.0,0,7.0,35.0,78.0,90.0,4.0,0,139,12,0
cranberry,0.0,5.0,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,28.0,0,0,0,0
cream cheese,41.0,3.0,14.0,0.0,0.0,15.0,0,7.0,0.0,0.0,0.0,0.0,0,0,0,0
créme de cacao,2.0,6.0,3.0,1.0,2.0,1.0,0,4.0,3.0,3.0,2.0,0.0,2,9,0,2
crêpe,10.0,10.0,8.0,0.0,0.0,13.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
cr��me de cacao,2.0,6.0,3.0,1.0,2.0,1.0,0,4.0,3.0,3.0,2.0,0.0,2,9,0,2
cuba,41.0,1.0,43.0,0.0,0.0,31.0,0,55.0,0.0,0.0,0.0,0.0,0,0,0,0
cucumber,0.0,2.0,1.0,0.0,2.0,10.0,12,1.0,1.0,1.0,5.0,3.0,0,0,0,0
cumin,29.0,16.0,36.0,369.0,87.0,7.0,5,72.0,44.0,9.0,96.0,9.0,0,0,22,7
currant,0.0,28.0,7.0,10.0,9.0,2.0,3,7.0,3.0,1.0,33.0,5.0,0,0,1,0
curry,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
custard,5.0,4.0,10.0,2.0,3.0,4.0,0,9.0,5.0,13.0,0.0,0.0,7,17,1,9
date,0.0,27.0,5.0,6.0,10.0,0.0,2,3.0,3.0,5.0,23.0,0.0,0,0,0,0
dill,1.0,1.0,1.0,1.0,2.0,35.0,14,4.0,1.0,0.0,3.0,2.0,0,0,1,0
dried fruit,1.0,29.0,5.0,7.0,6.0,1.0,5,3.0,3.0,2.0,24.0,6.0,0,0,10,3
duck,0.0,22.0,1.0,2.0,1.0,31.0,0,1.0,2.0,2.0,4.0,1.0,0,0,1,1
eau de vie,2.0,6.0,3.0,1.0,2.0,1.0,0,4.0,3.0,3.0,2.0,0.0,2,9,0,2
egg,37.0,21.0,13.0,0.0,0.0,8.0,0,10.0,0.0,0.0,0.0,0.0,0,0,0,0
egg nog,10.0,7.0,8.0,2.0,0.0,4.0,0,10.0,0.0,0.0,0.0,0.0,0,0,0,0
eggplant,19.0,3.0,10.0,9.0,20.0,9.0,20,3.0,12.0,18.0,44.0,8.0,0,0,5,1
endive,0.0,1.0,2.0,5.0,4.0,1.0,192,4.0,7.0,0.0,11.0,7.0,0,0,3,12
escarole,0.0,1.0,2.0,0.0,0.0,1.0,0,4.0,0.0,0.0,0.0,0.0,0,0,0,0
fennel,4.0,3.0,3.0,5.0,5.0,9.0,62,4.0,2.0,1.0,8.0,13.0,0,0,7,7
feta,37.0,4.0,0.0,0.0,0.0,30.0,0,0.0,0.0,0.0,0.0,0.0,0,104,0,0
fig,0.0,24.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
fish,21.0,8.0,22.0,5.0,6.0,17.0,4,1.0,4.0,29.0,7.0,0.0,5,40,46,0
fontina,40.0,1.0,51.0,1.0,3.0,35.0,2,42.0,32.0,26.0,3.0,0.0,3,70,2,29
fortified wine,0.0,1.0,0.0,1.0,2.0,0.0,0,1.0,1.0,0.0,1.0,0.0,0,0,0,0
frangelico,26.0,1.0,24.0,2.0,0.0,13.0,0,1.0,0.0,0.0,0.0,1.0,0,0,0,0
fruit,1.0,4.0,5.0,1.0,3.0,1.0,3,6.0,3.0,3.0,4.0,11.0,3,12,1,2
fruit juice,0.0,5.0,0.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
garlic,0.0,12.0,0.0,0.0,0.0,0.0,0,51.0,0.0,0.0,0.0,89.0,0,0,0,0
gin,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0,0,0
ginger,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
goat cheese,41.0,0.0,50.0,0.0,0.0,30.0,0,55.0,0.0,0.0,0.0,5.0,0,0,0,0
goose,128.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,18,0
gouda,41.0,0.0,50.0,0.0,0.0,40.0,0,55.0,0.0,0.0,0.0,0.0,0,0,0,0
grand marnier,0.0,21.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
granola,37.0,17.0,29.0,21.0,0.0,4.0,0,5.0,0.0,0.0,0.0,0.0,0,0,0,0
grape,0.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,23.0,0,0,0,0
grapefruit,0.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
grappa,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
green bean,0.0,2.0,0.0,2.0,0.0,14.0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
ground beef,34.0,0.0,34.0,9.0,0.0,3.0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
ground lamb,26.0,0.0,34.0,9.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
guam,0.0,1.0,0.0,0.0,0.0,23.0,0,0.0,0.0,0.0,0.0,37.0,0,0,0,0
guava,0.0,4.0,1.0,3.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0,0,0,0
haiti,0.0,30.0,14.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
halibut,2.0,0.0,41.0,6.0,0.0,2.0,0,2.0,0.0,0.0,0.0,0.0,0,0,0,0
ham,5.0,1.0,38.0,5.0,5.0,50.0,0,1.0,17.0,61.0,14.0,0.0,3,17,1,1
hazelnut,41.0,20.0,15.0,24.0,0.0,3.0,0,11.0,0.0,0.0,0.0,0.0,0,0,0,0
herb,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0,0,0
hominy/cornmeal/masa,4.0,5.0,3.0,3.0,4.0,22.0,1,1.0,9.0,5.0,3.0,0.0,0,0,2,2
honey,0.0,30.0,1.0,2.0,0.0,0.0,0,0.0,2.0,1.0,4.0,1.0,0,0,0,0
honeydew,0.0,3.0,1.0,1.0,2.0,1.0,2,0.0,1.0,1.0,3.0,20.0,0,0,0,0
horseradish,1.0,4.0,2.0,2.0,6.0,18.0,1,4.0,8.0,5.0,6.0,28.0,0,0,0,0
hot drink,2.0,6.0,8.0,11.0,10.0,3.0,14,10.0,17.0,13.0,23.0,28.0,12,74,72,18
hot pepper,32.0,3.0,43.0,0.0,0.0,50.0,0,41.0,0.0,0.0,0.0,0.0,0,0,0,0
hummus,37.0,8.0,14.0,7.0,0.0,20.0,0,5.0,0.0,0.0,0.0,10.0,0,0,0,0
iced coffee,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0,0,0,0
iced tea,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
jalapeño,33.0,1.0,34.0,2.0,0.0,34.0,0,4.0,0.0,0.0,0.0,0.0,35,0,0,0
jerusalem artichoke,0.0,6.0,4.0,19.0,4.0,0.0,0,1.0,1.0,1.0,16.0,4.0,0,0,1,0
jícama,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
kahlúa,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
kale,1.0,4.0,7.0,9.0,8.0,2.0,690,10.0,0.0,0.0,29.0,136.0,0,0,0,0
kirsch,0.0,12.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0,0,0
kiwi,1.0,5.0,3.0,1.0,0.0,0.0,32,3.0,0.0,0.0,0.0,104.0,0,0,0,0
kumquat,1.0,6.0,4.0,5.0,5.0,0.0,0,5.0,2.0,0.0,11.0,49.0,0,0,1,2
lamb,26.0,0.0,34.0,8.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
lamb chop,21.0,0.0,55.0,10.0,6.0,17.0,4,2.0,34.0,54.0,15.0,0.0,0,103,1,0
lamb shank,15.0,0.0,40.0,7.0,5.0,3.0,0,1.0,35.0,12.0,9.0,0.0,5,84,2,1
leafy green,9.0,2.0,16.0,5.0,3.0,14.0,9,1.0,13.0,14.0,5.0,1.0,0,17,6,1
leek,4.0,5.0,3.0,12.0,7.0,7.0,43,5.0,1.0,2.0,14.0,12.0,0,0,9,10
legume,1.0,22.0,50.0,45.0,0.0,6.0,0,5.0,0.0,0.0,0.0,5.0,0,0,0,0
lemon,1.0,2.0,0.0,0.0,0.0,35.0,0,0.0,0.0,0.0,0.0,4.0,0,0,0,0
lemon juice,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
lemongrass,1.0,3.0,3.0,0.0,0.0,6.0,0,2.0,0.0,0.0,0.0,0.0,0,0,0,0
lentil,7.0,4.0,7.0,8.0,5.0,17.0,7,2.0,5.0,3.0,17.0,9.0,0,0,9,4
lettuce,0.0,1.0,2.0,1.0,3.0,1.0,62,2.0,2.0,1.0,4.0,9.0,0,0,1,34
lima bean,9.0,7.0,14.0,12.0,10.0,9.0,7,1.0,8.0,8.0,24.0,0.0,0,0,9,0
lime,19.0,14.0,18.0,7.0,5.0,3.0,1,3.0,11.0,36.0,13.0,6.0,8,21,6,12
lime juice,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,37.0,0,0,0,0
lingonberry,0.0,16.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
liqueur,0.0,12.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0,0,0
lobster,1.0,0.0,42.0,2.0,11.0,23.0,0,8.0,41.0,146.0,190.0,0.0,0,56,7,0
lychee,1.0,6.0,2.0,2.0,2.0,0.0,0,0.0,1.0,1.0,16.0,79.0,0,0,0,0
macadamia nut,97.0,5.0,16.0,20.0,31.0,0.0,0,7.0,12.0,7.0,84.0,1.0,0,0,4,0
mango,0.0,31.0,5.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0,0,0,0
maple syrup,0.0,32.0,0.0,0.0,0.0,0.0,0,8.0,0.0,0.0,0.0,0.0,0,0,0,0
margarita,0.0,6.0,0.0,0.0,0.0,9.0,0,0.0,1.0,1.0,1.0,2.0,0,0,0,0
marsala,73.0,0.0,0.0,0.0,0.0,77.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
